Finished,ResponseId,UserLanguage,CF2,country,D1,D2,D2 CODINGS,D3,D3_13_TEXT,D7,D7_9_TEXT,Q59,Q59_13_TEXT,Q178,Q179,Q180,C3,C3_16_TEXT,C3_12_TEXT,Q182,Q182_23_TEXT,Q181,Q184,Q57,C4,C4 CODINGS,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q58_7,Q189,Q189_9_TEXT,Q191,Q191 CODINGS,Q192,Q192_9_TEXT,Q195,Q196,Q196_9_TEXT,Q198,Q199,Q199_9_TEXT,Q201,Q202,Q202_9_TEXT,Q204,Q205,Q205_9_TEXT,Q207,Q208_1,Q208_2,Q208_3,Q208_4,Q208_5,Q208_6,Q208_7,Q208_8,Q208_9,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q56_7,Q56_8,Q56_9,Q210,Q185,Q185_21_TEXT,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,Q60,Q186_1,Q186_2,Q186_3,Q186_4,Q186_5,Q186_6,Q186_7,Q186_8,Q186_9,Q186_10,Q186_11,Q186_12,Q61
TRUE,15,EN,I agree to participate in the described study.,Latvia,11,development tools,['Software'],"Programmer,Software Architect",,"Web applications,Desktop applications,Development tools (compilers, programming languages, etc.)",,"C,Java,JavaScript",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,16,EN,I agree to participate in the described study.,United States of America,18,Social media ,['Social Media'],Project Technical Lead,,Web applications,,Java,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,17,EN,I agree to participate in the described study.,China,11,ICT Info Sturcture,['Communication'],Researcher,,"Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Java,C#",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Software Testing ,Code Debugging,Code Documentation,Code Review","Deepseek-R1,Llama",,,"Web interfaces,IDE plugins/extensions",,A few times per month,No noticeable change,Yes,Not now. But might have some impact in the future. ,['No_Change_to_Approach'],Use occasionally,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,"Example inputs and expected outputs,Performance or optimization requirements,Error handling expectations,Desired code style and naming conventions",,,,"The original code with explanatory comments,Unit tests demonstrating expected behavior,Examples of similar code you consider well-structured",,,"Code to be tested with specifications,Edge cases and expected behaviors,Testing framework preferences and assertion styles,Test coverage goals and requirements,Examples of test cases (inputs-output mappings)",,,"Full error messages and stack traces,Steps to reproduce the issue,Environment details and configurations,Related logs or console output",,,"Code with functionality explanation,Target audience information and technical level,Examples of desired documentation style,Domain-specific terminology guidelines",,,"Code to be reviewed with context,Project coding standards and guidelines,Security or compliance requirements,Performance expectations",,,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7-10,"Optimizing existing code (e.g. performance improvements, reducing complexity),Standardizing and cleaning code (e.g. style improvements, naming conventions, removing duplication),Test creation and implementation (e.g. unit, integration, end-to-end test code)",,Somewhat reliable,Very unreliable,Very unreliable,Very unreliable,Somewhat unreliable,Somewhat unreliable,Unsure / Haven’t tried,Unsure / Haven’t tried,Unsure / Haven’t tried,Unsure / Haven’t tried,Very unreliable,Unsure / Haven’t tried,,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,
TRUE,18,EN,I agree to participate in the described study.,United States of America,2,Social apps,['Social Media'],Programmer,,"Web applications,Desktop applications,Middleware",,"Python,Java,C#,Go,SQL",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Software Testing ,Code Debugging,Code Documentation","ChatGPT,Copilot",,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Slightly increased productivity,Yes,"Yes, it can summarize codebase much faster than just grinding the code myself. Also, it can prompt me with some common coding patterns and accelerate the development process.","['Saves_time_or_boosts_productivity', 'Project_architecture_or_design', 'Code_summarization', 'Speed_up_coding']",Heard of it but don't use,Heard of it but don't use,Never heard of it,Never heard of it,Never heard of it,Use occasionally,Heard of it but don't use,"Implementation alternatives to consider or avoid,Error handling expectations,Description of existing codebase architecture,Desired code style and naming conventions",,Define the output and provide as much details as possible,"['Include_maximum_detail', 'Clarify_requirements_or_output']","Description of current issues and refactoring goals,Architectural constraints and style guidelines,Specific refactoring patterns to apply",,,"Code to be tested with specifications,Edge cases and expected behaviors,Test coverage goals and requirements",,,"Full error messages and stack traces,Previously attempted solutions,Related logs or console output",,,"Examples of desired documentation style,Existing documentation that needs updating",,,,,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Never,Sometimes,Sometimes,Often,Often,Rarely,4-6,"Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Standardizing and cleaning code (e.g. style improvements, naming conventions, removing duplication),Test creation and implementation (e.g. unit, integration, end-to-end test code),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat unreliable,Very unreliable,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,Very unreliable,Somewhat reliable,Somewhat reliable,,,,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,,,
TRUE,19,EN,I agree to participate in the described study.,United States of America,20,Social Network,['Social Media'],Project Technical Lead,,Desktop applications,,"Java,SQL",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Software Testing ,Code Documentation,Code Review",ChatGPT,,,IDE plugins/extensions,,A few times per week,Slightly increased productivity,Yes,"Yes, it’s a game changer. It significantly boosts productivity, allowing me to focus more on architecture and system design. Although it’s not perfect and I still need to polish the code a bit, it’s definitely the future of software development.","['Facilitates alternative focus', 'Saves_time_or_boosts_productivity']",Use occasionally,Never heard of it,Never heard of it,Heard of it but don't use,Use occasionally,Use occasionally,Heard of it but don't use,"Example inputs and expected outputs,Error handling expectations,Description of existing codebase architecture",,"I provide sudo code/basic version, and let Copilot polish. ","['Provide_code', 'Pseudocode', 'Refine_existing_design']",,,,"Code to be tested with specifications,Test coverage goals and requirements",,,,,,"Code with functionality explanation,Existing documentation that needs updating",,,"Code to be reviewed with context,Project coding standards and guidelines,Common pitfalls in this domain or codebase",,,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Rarely,Often,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,2-3,"Implementing new code components (e.g. includes creating data structures, writing functions),Test creation and implementation (e.g. unit, integration, end-to-end test code),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat unreliable,Very unreliable,,,Somewhat reliable,Somewhat reliable,,,Somewhat reliable,Somewhat reliable,Somewhat reliable,Somewhat unreliable,,Sometimes,Rarely,,,Sometimes,Rarely,,,Rarely,Rarely,Sometimes,Sometimes,
TRUE,20,EN,I agree to participate in the described study.,United States of America,20,"social network,payment,ecommerce","['Banking', 'Social Media']","Programmer,Software Architect,Project Technical Lead",,"Web applications,Mobile applications,Desktop applications,Middleware",,"C++,Java,JavaScript,SQL",,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable","Code Debugging,Code Documentation","ChatGPT,Claude",,,"IDE plugins/extensions,API integration with development pipelines",,Multiple times daily,Significantly increased productivity,Yes,Auto testing generation and then manually recheck,"['Test_Case_Generation', 'Verification_of_AI_Generated_Code']",Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use occasionally,Use occasionally,,,,,,,,,,,"Full error messages and stack traces,Related logs or console output",,,"Code with functionality explanation,Examples of desired documentation style",,,,,,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,4-6,"Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments)",,,,,,,,Somewhat unreliable,Somewhat unreliable,Somewhat unreliable,Somewhat unreliable,,,,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,,,
TRUE,21,EN,I agree to participate in the described study.,United States of America,5,"AI applications, ads, digital marketing","['Marketing', 'AI / Machine Learning']",Other (please specify),Software Engineer,"Web applications,Desktop applications",,"Python,Java,JavaScript,SQL",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Software Testing ,Code Documentation","ChatGPT,Claude,Gemini",,,"IDE plugins/extensions,Other (please specify):",Cursor,Multiple times daily,Significantly increased productivity,Yes,"Move faster from idea to execution.
Explore design patterns.
Refactor code or debug test failures with real-time guidance.
Focus more on high-leverage thinking.
","['Real_time_guidance', 'Saves_time_or_boosts_productivity', 'Project_architecture_or_design', 'Facilitates_alternative_focus']",Heard of it but don't use,Heard of it but don't use,Use occasionally,Use occasionally,Use regularly,Use occasionally,Heard of it but don't use,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Error handling expectations,Target environment or deployment constraints",,,,,,,"Code to be tested with specifications,Edge cases and expected behaviors,Testing framework preferences and assertion styles,Existing test suite examples,Mocking or dependency handling instructions",,,,,,"Target audience information and technical level,Examples of desired documentation style,Domain-specific terminology guidelines,Documentation format requirements,Usage examples and scenarios",,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,4-6,"Designing software and code architectures (e.g. software design, architectural patterns),Test creation and implementation (e.g. unit, integration, end-to-end test code),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat reliable,Somewhat reliable,,,Very reliable,Somewhat reliable,,,Very reliable,Somewhat reliable,,,,Often,Sometimes,,,Sometimes,Sometimes,,,Sometimes,Sometimes,,,
TRUE,22,EN,I agree to participate in the described study.,Switzerland,22,"Banking, Universities",['Banking'],"Programmer,Educator,Researcher",,"Web applications,Desktop applications,AI-intensive systems",,"Python,Java",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Documentation,Code Review","ChatGPT,Copilot",,,"Web interfaces,IDE plugins/extensions",,A few times per week,Slightly increased productivity,No,,,Use occasionally,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use occasionally,Use regularly,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Error handling expectations",,,,,,,,,,,,,Documentation format requirements,,,Code to be reviewed with context,,,Often,Often,Rarely,Rarely,Never,Rarely,Never,Sometimes,Often,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Often,Often,Rarely,2-3,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Code-level documentation (e.g. functions, classes, inline comments),Code quality evaluation (e.g. style, maintainability, complexity)",,Very reliable,Somewhat unreliable,,,,,,,Somewhat unreliable,Somewhat unreliable,Very reliable,Somewhat reliable,,Often,Sometimes,,,,,,,Sometimes,Sometimes,Often,Always,
TRUE,23,EN,I agree to participate in the described study.,China,4,LLM,['AI / Machine Learning'],"Project Technical Lead,Researcher",,"AI-intensive systems,Development tools (compilers, programming languages, etc.)",,"Python,Others (please specify)",Rust,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Generation,Code Documentation","ChatGPT,Claude,AI-integrated IDE (e.g. Windsurf) (please specify)","Trae, Cursor, Windsurf",,"Web interfaces,IDE plugins/extensions,Command line tools,API integration with development pipelines",,Multiple times daily,Significantly increased productivity,Yes,"AI helped me to start quickly with programming languages and frameworks that I was not familiar with.

AI helped me save a significant amount of time on writing boiler-plate code, or code that I am confident it can write correctly.

AI can also help me quickly understand projects that I did not work with before.","['Write_boilerplate_code', 'Saves_time_or_boosts_productivity', 'Code_explanation', 'Code_summarization', 'Speed_up_coding', 'Use_unfamiliar_languages']",Use occasionally,Use occasionally,Heard of it but don't use,Heard of it but don't use,Use occasionally,Heard of it but don't use,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Error handling expectations,Target environment or deployment constraints,Description of existing codebase architecture,Desired code style and naming conventions",,,,,,,,,,,,,"Code with functionality explanation,Examples of desired documentation style,Domain-specific terminology guidelines,Existing documentation that needs updating,Usage examples and scenarios,Project standards and conventions",,,,,,Sometimes,Often,Often,Rarely,Sometimes,Often,Never,Sometimes,Never,Often,Often,Rarely,Never,Often,Often,Sometimes,Often,Sometimes,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Project-level documentation (e.g. READMEs, architecture docs, API docs)",,Somewhat reliable,Very reliable,,,,,,,Somewhat reliable,Very reliable,,,,Sometimes,Sometimes,,,,,,,Rarely,Rarely,,,
TRUE,24,EN,I agree to participate in the described study.,United States of America,3,various,['None'],Researcher,,Web applications,,"Python,JavaScript",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,25,EN,I agree to participate in the described study.,United States of America,15,"education, productivity, OS security enhancements","['Education', 'Productivity', 'Security']","Programmer,Tester,Researcher",,"Operating systems,Mobile applications",,"C,Java",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,26,EN,I agree to participate in the described study.,Colombia,5,"Helthcare, public transportation, education ","['Education', 'Transportation', 'Healthcare']","Programmer,Tester",,"Web applications,Mobile applications,Desktop applications",,"JavaScript,Others (please specify)","Kotlin, Flutter",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,27,EN,I agree to participate in the described study.,United States of America,10,"Gaming, Academia, Healthcare","['Research', 'Gaming', 'Healthcare']","Programmer,Software Architect,Project Technical Lead,Project Manager,Educator,Researcher",,AI-intensive systems,,Python,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,28,EN,I agree to participate in the described study.,United Kingdom of Great Britain and Northern Ireland,10,"banking, healthcare, reseach projects","['Research', 'Banking', 'Healthcare']",Researcher,,AI-intensive systems,,Python,,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Debugging,Code Documentation","ChatGPT,Claude,Deepseek-R1",,,"Web interfaces,IDE plugins/extensions,API integration with development pipelines",,Multiple times daily,Significantly increased productivity,Yes,"I now focus more on how to express the requirements, how to do prompt engineering, and also to check whether the generated code is correct. ","['Facilitates_alternative_focus', 'Prompt_engineering', 'Greater_focus_on_testing', 'Verification_of_AI_Generated_Code']",Use regularly,Heard of it but don't use,Use occasionally,Use regularly,Use regularly,Use regularly,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Error handling expectations,Target environment or deployment constraints,Description of existing codebase architecture",,,,,,,,,,"Full error messages and stack traces,Environment details and configurations,Related logs or console output",,,"Target audience information and technical level,Examples of desired documentation style,Documentation format requirements,Existing documentation that needs updating,Project standards and conventions",,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,Often,Rarely,Often,Often,Often,Rarely,Often,4-6,"Implementing new code components (e.g. includes creating data structures, writing functions),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments),Project-level documentation (e.g. READMEs, architecture docs, API docs)",,Somewhat unreliable,Somewhat reliable,,,,,Somewhat unreliable,Somewhat unreliable,Very unreliable,Very reliable,,,,Often,Often,,,,,Often,Often,Rarely,Rarely,,,
TRUE,29,EN,I agree to participate in the described study.,United States of America,5,mental healthcare,['Healthcare'],"Programmer,Project Technical Lead,Project Manager,Researcher",,"Web applications,Mobile applications,AI-intensive systems",,"Python,JavaScript",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,30,EN,I agree to participate in the described study.,United Kingdom of Great Britain and Northern Ireland,15,"enterprise, education","['Business', 'Education']","Programmer,Software Architect,Project Technical Lead,Researcher",,"Web applications,Development tools (compilers, programming languages, etc.),Libraries/frameworks",,Java,,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable","Code Generation,Software Testing ,Code Review",ChatGPT,,,My workflow does not incorporate AI tools,,Multiple times daily,Slightly increased productivity,Yes,,,Heard of it but don't use,Never heard of it,Never heard of it,Never heard of it,Use occasionally,Heard of it but don't use,Never heard of it,"Example inputs and expected outputs,Specific libraries or frameworks to use,Target environment or deployment constraints",,,,,,,"Code to be tested with specifications,Testing framework preferences and assertion styles,Environment setup requirements",,,,,,,,,"Code to be reviewed with context,Project coding standards and guidelines",,,Sometimes,Often,Often,Often,Often,Often,Often,Rarely,Sometimes,Often,Sometimes,Rarely,Often,Often,Sometimes,Often,Often,Often,Unsure,"Setting up structural code (e.g. boilerplate, function headers, imports),Others (please specify)",Writing configuration / build scripts,Very unreliable,Somewhat reliable,,,Somewhat unreliable,Somewhat unreliable,,,,,Somewhat unreliable,Very unreliable,,Always,Always,,,Always,Always,,,,,Always,Always,
TRUE,31,EN,I agree to participate in the described study.,United States of America,20,"academia, defense, small business management","['Research', 'Business', 'Military / Defense']","Consultant,Educator,Researcher",,"Web applications,Desktop applications,AI-intensive systems,Libraries/frameworks",,"Python,C,Java,JavaScript",,Yes,5 - Maximum proficiency: I can efficiently obtain desired output for any task,"Code Generation,Code Debugging,Code Documentation","ChatGPT,Gemini,Llama",,,"Web interfaces,Command line tools",,Multiple times daily,Significantly increased productivity,Yes,"I am much more eager to try new APIs than before.  Often the AI knows about the API I want to use already.  Even if it doesn't, I can give it the documentation for the API and it can generate some example code from it.","['Provide_a_starting_point', 'APIs_easier_to_use']",Use regularly,Use occasionally,Heard of it but don't use,Heard of it but don't use,Use regularly,Heard of it but don't use,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Target environment or deployment constraints",,Sometimes I ask it to generate the same solution in two programming languages.  Then I can compare results.,"['Compare_multiple_outputs', 'Multiple_languages']",,,,,,,"Full error messages and stack traces,Previously attempted solutions,System architecture or component interactions",,,"Code with functionality explanation,Examples of desired documentation style,Documentation format requirements",,,,,,Often,Often,Often,Rarely,Often,Often,Rarely,Sometimes,Often,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Sometimes,4-6,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat reliable,Somewhat reliable,,,,,Very unreliable,Somewhat unreliable,Very unreliable,Somewhat reliable,,,,Often,Often,,,,,Always,Always,Sometimes,Always,,,
TRUE,32,EN,I agree to participate in the described study.,United States of America,1,battery mannager system,['Systems'],Programmer,,Operating systems,,"Python,C#",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks",Code Generation,ChatGPT,,,API integration with development pipelines,,Multiple times daily,Significantly increased productivity,Yes,Significantly accelerate the code generation process,"['Saves_time_or_boosts_productivity', 'Speed_up_coding']",Heard of it but don't use,Heard of it but don't use,Never heard of it,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Target environment or deployment constraints",,,,,,,,,,,,,,,,,,,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Often,Often,Often,Often,Sometimes,Often,Rarely,Often,Often,Often,Sometimes,Sometimes,4-6,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Very unreliable,Somewhat reliable,,,,,,,,,,,,Often,Sometimes,,,,,,,,,,,
TRUE,33,EN,I agree to participate in the described study.,United States of America,5,finance,['Finance'],Tester,,Web applications,,"Python,C++",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Debugging","ChatGPT,Claude",,,IDE plugins/extensions,,Multiple times daily,Slightly increased productivity,Yes,AI models provide me code sketch that I can build on.,['Provide_a_starting_point'],Heard of it but don't use,Use occasionally,Never heard of it,Use occasionally,Use occasionally,Use occasionally,Heard of it but don't use,"Performance or optimization requirements,Implementation alternatives to consider or avoid,Description of existing codebase architecture",,,,,,,,,,"Full error messages and stack traces,Environment details and configurations,Related logs or console output,System architecture or component interactions",,,,,,,,,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,Often,Often,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Often,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat reliable,Somewhat reliable,,,,,Very reliable,Very reliable,,,,,code refactoring,Often,Often,,,,,Often,Often,,,,,hallucination and fixing unwanted part
TRUE,34,EN,I agree to participate in the described study.,United States of America,10,AI,['AI / Machine Learning'],"Programmer,Researcher",,AI-intensive systems,,Python,,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Software Testing ,Code Debugging,Code Documentation","ChatGPT,Claude",,,"IDE plugins/extensions,Command line tools",,Multiple times daily,Significantly increased productivity,Yes,Debug code faster,['Speed up debugging'],Use occasionally,Heard of it but don't use,Use occasionally,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,"Example inputs and expected outputs,Target environment or deployment constraints",,,,,,,"Code to be tested with specifications,Existing test suite examples",,,"Steps to reproduce the issue,Related logs or console output,System architecture or component interactions",,,"Code with functionality explanation,Usage examples and scenarios",,,,,,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Test strategy and planning (e.g. test case design, edge case identification),Issue diagnosis (e.g. understanding errors, identifying root causes)",,Somewhat reliable,Somewhat unreliable,,,Somewhat unreliable,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,,,,Sometimes,Sometimes,,,Sometimes,Often,Often,Often,Often,Often,,,
TRUE,35,EN,I agree to participate in the described study.,Canada,10,"Financial Institutions, Freelance SaaS","['Software', 'Finance']","Programmer,Tester,Software Architect,Project Technical Lead,Consultant,Educator,Researcher,Analyst",,"Web applications,Middleware",,"Python,JavaScript,Go,SQL",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Generation,Code Refactoring","ChatGPT,Gemini,Copilot",,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Slightly increased productivity,Yes,"I'm more focused on achieving the right outcome quickly rather than following a rigorous development practice. This means that I often accept suggestions blindly and then perform smoke testing or run unit tests to verify that the code achieves the expected outcome, rather than meticulously checking the internals.","['Verification_of_AI_Generated_Code', 'Focus_on_speed_over_quality']",Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use regularly,Use occasionally,Never heard of it,"Description of existing codebase architecture,Desired code style and naming conventions",,"I use very basic prompting, even though I'm aware of advanced techniques, as doing advanced prompting slows me down and puts more mental strain than just asking the LLM to try again with some slight changes",['Avoid advanced prompt techniques'],"The original code with explanatory comments,Description of current issues and refactoring goals,Architectural constraints and style guidelines,Code that should remain unchanged during refactoring,Specific refactoring patterns to apply",,,,,,,,,,,,,,,Sometimes,Often,Never,Rarely,Sometimes,Often,Never,Rarely,Never,Often,Often,Sometimes,Never,Rarely,Rarely,Rarely,Never,Rarely,4-6,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions)",,Unsure / Haven’t tried,Somewhat unreliable,Somewhat unreliable,Somewhat unreliable,,,,,,,,,,Often,Often,Often,Sometimes,,,,,,,,,
TRUE,36,EN,I agree to participate in the described study.,Canada,7,Website,['Websites / Internet'],Researcher,,"Development tools (compilers, programming languages, etc.)",,"Python,Java",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,Code Generation,ChatGPT,,,Web interfaces,,Multiple times daily,Significantly increased productivity,Yes,It makes me easier and fact to finish the task.,['Bad_Answer'],Heard of it but don't use,Use regularly,Use occasionally,Heard of it but don't use,Heard of it but don't use,Use regularly,Use regularly,"Example inputs and expected outputs,Target environment or deployment constraints,Description of existing codebase architecture",,The main prompt is about the functionality of the code and the language.,"['Clarify_requirements_or_output', 'Provide_goal', 'Specify_language']",,,,,,,,,,,,,,,,Rarely,Often,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Often,Often,Often,2-3,"Designing software and code architectures (e.g. software design, architectural patterns)",,Somewhat reliable,Somewhat reliable,,,,,,,,,,,"Reviewing code, and it is reliable.",Rarely,Often,,,,,,,,,,,
TRUE,37,EN,I agree to participate in the described study.,Canada,3,research,['Research'],Researcher,,Libraries/frameworks,,Python,,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Review","ChatGPT,Deepseek-R1",,,IDE plugins/extensions,,Multiple times daily,Slightly increased productivity,Unsure,,,Use regularly,Use occasionally,Use regularly,Use regularly,Use regularly,Use regularly,Use regularly,"Example inputs and expected outputs,Error handling expectations",,,,,,,,,,,,,,,,"Description of feature or fix purpose,Related system components or dependencies,Common pitfalls in this domain or codebase",,,Often,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,4-6,"Implementing new code components (e.g. includes creating data structures, writing functions),Functional / performance assessment (e.g. efficiency, potential bugs, security vulnerabilities)",,Somewhat reliable,Somewhat reliable,,,,,,,,,Somewhat unreliable,Somewhat unreliable,,Sometimes,Sometimes,,,,,,,,,Often,Sometimes,
TRUE,38,EN,I agree to participate in the described study.,United States of America,1,"Sports, Agriculture","['Agriculture', 'Sports']","Programmer,Software Architect",,Mobile applications,,"Python,Others (please specify)","Flutter, Kotlin",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
